{'pImmuneKill': 0.6, 'pCancerMult': 0.4, 'pCancerSpawn': 0.01}
[0.05031989284867458,0.026963811967945485,-79.58391226659553,4.631744918466713]
4 runs over 1000 iterations

AverageImmune, VarianceImmune, StdDefImmune, AverageBacteria, VarianceBacteria, StdDefBacteria
0.005925,1.5625000000000136e-09,3.952847075210491e-05,0.0014875,2.3504687499999997e-06,0.0015331238534443327
0.005925,1.5625000000000136e-09,3.952847075210491e-05,0.00173125,3.1848046874999995e-06,0.0017846021090147796
0.00591875,2.30468750000001e-09,4.8007160924178906e-05,0.0020125,4.331406249999999e-06,0.002081203077549137
0.0059125,3.2812500000000037e-09,5.728219618694803e-05,0.00239375,6.242617187499999e-06,0.0024985230011949056
0.0059125,3.2812500000000037e-09,5.728219618694803e-05,0.0027875,8.460468750000001e-06,0.002908688493118505
0.00591875,3.2421874999999987e-09,5.6940209869651856e-05,0.0032624999999999998,1.155515625e-05,0.0033992876091910786
0.005931250000000001,3.867187499999999e-09,6.218671481916374e-05,0.0036187499999999996,1.4164804687499999e-05,0.003763615905947364
0.00591875,3.2421874999999987e-09,5.6940209869651856e-05,0.004025,1.7731874999999997e-05,0.004210923295430587
0.005925000000000001,3.749999999999998e-09,6.123724356957943e-05,0.004575,2.28809375e-05,0.004783402293347278
0.0059375,5.468749999999988e-09,7.395099728874512e-05,0.005031249999999999,2.74923046875e-05,0.005243310470256363
0.005956250000000001,9.804687500000015e-09,9.901862198596794e-05,0.00559375,3.3963867187500004e-05,0.00582785270811643
0.005975,1.6249999999999977e-08,0.00012747548783981953,0.006175,4.131843749999999e-05,0.006427941933465174
0.00599375,2.4804687500000027e-08,0.000157495039604427,0.00685,5.09128125e-05,0.007135321471384453
0.006,2.281250000000004e-08,0.00015103807466993228,0.00745625,5.9836992187499994e-05,0.007735437427030226
0.00603125,4.136718749999993e-08,0.00020338925119091207,0.008181250000000001,7.225480468750001e-05,0.008500282623977866
0.006056250000000001,6.042968749999996e-08,0.0002458245054912141,0.008956249999999999,8.72926171875e-05,0.009343051813379823
0.006087500000000001,8.046875000000004e-08,0.0002836701429477555,0.00956875,0.0001000173046875,0.010000865196946712
0.0061062500000000006,9.980468749999991e-08,0.00031591879890250263,0.01031875,0.00011665792968749999,0.010800830046227929
0.0061312499999999995,1.3949218749999993e-07,0.00037348652920821644,0.01111875,0.0001364410546875,0.011680798546653392
0.006175,1.765624999999999e-07,0.00042019340784929017,0.0120375,0.00016058140625,0.012672071900443116
0.0062125,2.2171874999999992e-07,0.000470870205045934,0.01279375,0.00018175511718750002,0.013481658547356109
0.006243749999999999,2.7574218749999995e-07,0.0005251115952823742,0.013743749999999999,0.00021058824218749998,0.014511658836518311
0.0062875,3.2890625000000005e-07,0.0005735034873477231,0.0146625,0.00024001671875000002,0.015492472970768742
0.00635625,4.088671874999999e-07,0.0006394272339367474,0.01550625,0.0002679163671875,0.01636815100087667
0.00638125,4.6542968750000004e-07,0.0006822240742600631,0.0164125,0.00030057515624999995,0.01733710345617168
0.0064375000000000005,5.6703125e-07,0.0007530147740914516,0.01748125,0.0003418254296875,0.01848852156575804
