{'pImmuneKill': 0.6, 'pCancerMult': 0.01, 'pCancerSpawn': 0.1}
[0.48261515863711435,0.12228142286137562,0.22408299671877052,1.793849343994237e-05]
4 runs over 4000 iterations

AverageImmune, VarianceImmune, StdDefImmune, AverageBacteria, VarianceBacteria, StdDefBacteria
0.00199375,1.171874999999986e-10,1.0825317547305419e-05,0.00016250000000000002,2.65625e-09,5.1538820320220755e-05
0.00199375,1.171874999999986e-10,1.0825317547305419e-05,0.00016250000000000002,2.65625e-09,5.1538820320220755e-05
0.00199375,1.171874999999986e-10,1.0825317547305419e-05,0.00016875,3.5546875000000007e-09,5.962120008855911e-05
0.00199375,1.171874999999986e-10,1.0825317547305419e-05,0.00016875,3.5546875000000007e-09,5.962120008855911e-05
0.00199375,1.171874999999986e-10,1.0825317547305419e-05,0.00016875,3.5546875000000007e-09,5.962120008855911e-05
0.00199375,1.171874999999986e-10,1.0825317547305419e-05,0.00016875,3.5546875000000007e-09,5.962120008855911e-05
0.00199375,1.171874999999986e-10,1.0825317547305419e-05,0.00016875,3.5546875000000007e-09,5.962120008855911e-05
0.00199375,1.171874999999986e-10,1.0825317547305419e-05,0.00016875,3.5546875000000007e-09,5.962120008855911e-05
0.00199375,1.171874999999986e-10,1.0825317547305419e-05,0.00018125000000000001,2.9296875e-09,5.412658773652742e-05
0.00199375,1.171874999999986e-10,1.0825317547305419e-05,0.0001875,2.03125e-09,4.5069390943299866e-05
0.00199375,1.171874999999986e-10,1.0825317547305419e-05,0.0001875,2.03125e-09,4.5069390943299866e-05
0.00199375,1.171874999999986e-10,1.0825317547305419e-05,0.0002,1.5625000000000003e-09,3.952847075210475e-05
0.00199375,1.171874999999986e-10,1.0825317547305419e-05,0.0002,1.5625000000000003e-09,3.952847075210475e-05
0.00199375,1.171874999999986e-10,1.0825317547305419e-05,0.00020625,2.304687500000001e-09,4.800716092417881e-05
0.00199375,1.171874999999986e-10,1.0825317547305419e-05,0.00021250000000000002,2.656250000000001e-09,5.153882032022077e-05
0.00199375,1.171874999999986e-10,1.0825317547305419e-05,0.00021250000000000002,2.656250000000001e-09,5.153882032022077e-05
0.00199375,1.171874999999986e-10,1.0825317547305419e-05,0.00021874999999999998,3.5546875e-09,5.96212000885591e-05
0.00199375,1.171874999999986e-10,1.0825317547305419e-05,0.00023125,6.054687500000001e-09,7.781187248742958e-05
0.00199375,1.171874999999986e-10,1.0825317547305419e-05,0.00023750000000000003,5.15625e-09,7.180703308172536e-05
