{'pImmuneKill': 0.5         ,'pCancerMult': 0.4     ,'pCancerSpawn': 0.1}
4 runs over 1000 iterations

AverageImmune               ,VarianceImmune         ,StdDefImmune           ,AverageBacteria        ,VarianceBacteria       ,StdDefBacteria
0.0059812500000000005       ,1.1718749999999857e-10 ,1.0825317547305417e-05 ,0.0                    ,0.0                    ,0.0
0.0059812500000000005       ,1.1718749999999857e-10 ,1.0825317547305417e-05 ,0.0                    ,0.0                    ,0.0
0.0059812500000000005       ,1.1718749999999857e-10 ,1.0825317547305417e-05 ,1.25e-05               ,1.5625e-10             ,1.25e-05
0.005975                    ,3.1249999999999623e-10 ,1.767766952966358e-05  ,1.25e-05               ,1.5625e-10             ,1.25e-05
0.00596875                  ,7.4218750000001e-10    ,2.724311839712939e-05  ,1.25e-05               ,1.5625e-10             ,1.25e-05
0.00596875                  ,7.4218750000001e-10    ,2.724311839712939e-05  ,1.8750000000000002e-05 ,4.296875e-10           ,2.072890493972125e-05
0.00596875                  ,7.4218750000001e-10    ,2.724311839712939e-05  ,1.8750000000000002e-05 ,4.296875e-10           ,2.072890493972125e-05
0.00596875                  ,7.4218750000001e-10    ,2.724311839712939e-05  ,1.8750000000000002e-05 ,4.296875e-10           ,2.072890493972125e-05
0.00596875                  ,7.4218750000001e-10    ,2.724311839712939e-05  ,3.125e-05              ,4.296875e-10           ,2.072890493972125e-05
0.00596875                  ,7.4218750000001e-10    ,2.724311839712939e-05  ,4.9999999999999996e-05 ,1.5625e-09             ,3.952847075210474e-05
0.00596875                  ,7.4218750000001e-10    ,2.724311839712939e-05  ,6.875e-05              ,3.2421875000000004e-09 ,5.694020986965187e-05
0.005962500000000001        ,1.4062500000000101e-09 ,3.750000000000013e-05  ,0.0001125              ,8.28125e-09            ,9.100137361600648e-05
0.005962500000000001        ,1.4062500000000101e-09 ,3.750000000000013e-05  ,0.0001625              ,1.7031250000000002e-08 ,0.00013050383136138188
0.005962500000000001        ,1.4062500000000101e-09 ,3.750000000000013e-05  ,0.000225               ,2.7812499999999995e-08 ,0.00016677080080157916
0.005962500000000001        ,1.4062500000000101e-09 ,3.750000000000013e-05  ,0.000325               ,4.5624999999999987e-08 ,0.00021360009363293825
